strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;3,0;0,0;False;OPTI-f0,00005-s3-d6-c0-473;Success;1547000,0;9000,0;99,61;361,0;7218,0;0,6;0,0;0,0;16,0;1,0;1,0;0,0;3700,0;2,0;4906,0;255,0;258,0;293,0;923700,0;3,0;19423,0;768,0;769,0;780,0;615600,0;7,0;10187,0;1024,0;1024,0;6145,0;4000,0;5,0;36,0;768,0;764,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;4,0;0,0;False;OPTI-f0,00005-s4-d6-c0-474;Success;1989500,0;14000,0;99,32;376,0;9695,0;0,97;0,0;0,0;45,0;1,0;1,0;0,0;10600,0;3,0;10020,0;340,0;343,0;433,0;1244400,0;11,0;35403,0;1024,0;1031,0;1055,0;724500,0;8,0;17305,0;1024,0;1024,0;8207,0;10000,0;11,0;90,0;1024,0;1014,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d6-c0-475;Success;2369700,0;9000,0;99,41;371,0;12091,0;0,62;0,0;0,0;44,0;1,0;1,0;0,0;3500,0;0,0;8220,0;425,0;428,0;537,0;1539600,0;10,0;45674,0;1280,0;1282,0;1310,0;821600,0;6,0;16267,0;1024,0;1024,0;10244,0;5000,0;9,0;45,0;1280,0;1275,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;6,0;0,0;False;OPTI-f0,00005-s6-d6-c0-476;Success;2793500,0;9000,0;99,32;377,0;14501,0;0,61;0,0;0,0;43,0;1,0;1,0;0,0;4200,0;2,0;9869,0;510,0;510,0;634,0;1854900,0;8,0;69418,0;1536,0;1542,0;1574,0;928400,0;7,0;19314,0;1024,0;1024,0;12293,0;6000,0;11,0;54,0;1536,0;1530,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d5-c0-477;Success;2390500,0;11000,0;99,61;357,0;12027,0;0,75;0,0;0,0;36,0;1,0;1,0;0,0;12800,0;6,0;10320,0;425,0;429,0;480,0;1546200,0;5,0;46950,0;1280,0;1284,0;1306,0;823500,0;6,0;16319,0;1024,0;1024,0;10241,0;8000,0;13,0;72,0;1280,0;1272,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;4,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d4-c0-478;Success;593500,0;8900,0;99,61;89,0;3006,0;0,6;0,0;0,0;24,0;1,0;1,0;0,0;700,0;1,0;2016,0;105,0;105,0;119,0;385800,0;1,0;11391,0;320,0;321,0;325,0;206000,0;1,0;4078,0;256,0;256,0;2562,0;1000,0;3,0;9,0;320,0;319,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;3,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d3-c0-479;Success;147200,0;2600,0;100,0;21,0;745,0;0,0;0,0;0,0;10,0;1,0;1,0;0,0;0,0;0,0;225,0;25,0;25,0;25,0;96000,0;0,0;2048,0;80,0;80,0;80,0;51200,0;0,0;384,0;64,0;64,0;640,0;0,0;0,0;0,0;80,0;80,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;5,0;4,0;5,0;0,0;False;EAGER-f0-s5-d6-c0-480;Success;2355200,0;2800,0;100,0;341,0;11945,0;0,0;0,0;0,0;10,0;1,0;1,0;0,0;0,0;0,0;3825,0;425,0;425,0;425,0;1536000,0;0,0;32768,0;1280,0;1280,0;1280,0;819200,0;0,0;6144,0;1024,0;1024,0;10240,0;0,0;0,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;EAGER-f0,00007-s5-d6-c0-481;Success;2380100,0;23700,0;76,56;455,0;12329,0;1,62;0,0;0,0;121,0;1,0;1,0;0,0;2600,0;5,0;18575,0;425,0;425,0;826,0;1558500,0;22,0;77270,0;1280,0;1280,0;1275,0;819000,0;19,0;41226,0;1024,0;1024,0;10228,0;0,0;19,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00014;5,0;4,0;5,0;0,0;False;EAGER-f0,00014-s5-d6-c0-482;Success;2353000,0;5700,0;84,38;369,0;12006,0;0,77;0,0;0,0;37,0;1,0;1,0;0,0;800,0;6,0;5991,0;425,0;425,0;504,0;1533000,0;8,0;38919,0;1280,0;1280,0;1272,0;819200,0;5,0;11191,0;1024,0;1024,0;10230,0;0,0;12,0;0,0;1280,0;1280,0;0,0
