;strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
80672;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-665;Success;13396400,0;17400,0;67,36;1570,0;65533,0;0,95;0,0;0,0;35,0;1,0;1,0;0,0;6400,0;15,0;57794,0;1705,0;1705,0;2418,0;8744500,0;58,0;316042,0;5120,0;5120,0;5093,0;4645500,0;42,0;155358,0;5809,0;5809,0;58022,0;0,0;54,0;0,0;5120,0;5120,0;0,0
80949;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;5,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d5-c0-666;Deadline;4614700,0;150100,0;0,0;658,0;17512,0;7,13;0,0;0,0;464,0;1,0;1,0;0,0;9500,0;33,0;89435,0;425,0;425,0;1634,0;3436600,0;81,0;473374,0;1280,0;1280,0;1273,0;1168600,0;108,0;340551,0;1461,0;1461,0;14605,0;0,0;95,0;0,0;1280,0;1280,0;0,0
81227;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;4,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d4-c0-667;Success;841800,0;3900,0;100,0;85,0;4085,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;1470,0;105,0;105,0;105,0;549000,0;0,0;11087,0;320,0;320,0;320,0;292800,0;0,0;2196,0;366,0;366,0;3660,0;0,0;0,0;0,0;320,0;320,0;0,0
81506;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;7,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d7-c0-668;Deadline;72781900,0;150100,0;0,0;11356,0;281269,0;7,24;0,0;0,0;250,0;1,0;1,0;0,0;163900,0;481,0;1447084,0;6825,0;6825,0;29757,0;54121100,0;1487,0;7456919,0;20480,0;20480,0;20414,0;18496900,0;1675,0;5372746,0;23127,0;23127,0;231098,0;0,0;1490,0;0,0;20480,0;20480,0;0,0
81786;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-669;Success;14011400,0;56500,0;55,69;2274,0;67866,0;2,82;0,0;0,0;453,0;1,0;1,0;0,0;17900,0;43,0;161147,0;1705,0;1705,0;4775,0;9352800,0;155,0;766288,0;5120,0;5120,0;5100,0;4640700,0;155,0;520788,0;5802,0;5802,0;57991,0;0,0;147,0;0,0;5120,0;5120,0;0,0
82067;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;5,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d5-c0-670;Success;3349200,0;5700,0;98,01;348,0;16285,0;0,38;0,0;0,0;22,0;1,0;1,0;0,0;200,0;2,0;5965,0;425,0;425,0;451,0;2184200,0;4,0;46959,0;1280,0;1280,0;1275,0;1164800,0;7,0;12449,0;1456,0;1456,0;14559,0;0,0;4,0;0,0;1280,0;1280,0;0,0
82349;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;4,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d4-c0-671;Success;802700,0;3900,0;100,0;85,0;3915,0;0,18;0,0;0,0;15,0;1,0;1,0;0,0;0,0;1,0;1470,0;105,0;105,0;105,0;523500,0;0,0;10785,0;320,0;320,0;320,0;279200,0;1,0;2089,0;349,0;349,0;3490,0;0,0;0,0;0,0;320,0;320,0;0,0
82632;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;7,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d7-c0-672;Deadline;72790700,0;150100,0;0,0;11942,0;282191,0;7,43;0,0;0,0;603,0;1,0;1,0;0,0;162400,0;519,0;1447555,0;6825,0;6825,0;30081,0;54086100,0;1452,0;7483490,0;20480,0;20480,0;20417,0;18542200,0;1689,0;5398311,0;23182,0;23182,0;231693,0;0,0;1612,0;0,0;20480,0;20480,0;0,0
82916;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-673;Deadline;18563400,0;150100,0;0,0;2616,0;69934,0;7,44;0,0;0,0;250,0;1,0;1,0;0,0;41400,0;120,0;363064,0;1705,0;1705,0;7082,0;13899700,0;375,0;1873196,0;5120,0;5120,0;5101,0;4622300,0;457,0;1339419,0;5779,0;5779,0;57751,0;0,0;366,0;0,0;5120,0;5120,0;0,0
83201;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;5,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d5-c0-674;Success;3345200,0;5700,0;98,28;363,0;16316,0;0,27;0,0;0,0;32,0;1,0;1,0;0,0;400,0;0,0;6010,0;425,0;425,0;493,0;2180000,0;5,0;46705,0;1280,0;1280,0;1277,0;1164800,0;3,0;12325,0;1456,0;1456,0;14546,0;0,0;4,0;0,0;1280,0;1280,0;0,0
83487;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;4,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d4-c0-675;Success;843300,0;5600,0;97,01;88,0;4104,0;0,27;0,0;0,0;19,0;1,0;1,0;0,0;200,0;0,0;1477,0;105,0;105,0;117,0;548700,0;2,0;11370,0;320,0;320,0;318,0;294400,0;1,0;2812,0;368,0;368,0;3669,0;0,0;0,0;0,0;320,0;320,0;0,0
