failure_probability;LowCost;HighCmpl;S&P;HyBlock
1.1;0.0;0.0;75.83;83.74
1.1;0.0;0.0;67.71;86.21
1.1;0.0;0.0;76.97;83.62
1.1;0.0;0.0;0.0;83.69
1.1;0.0;0.0;82.22;85.67
1.1;0.0;0.0;49.27;86.77
1.1;0.0;0.0;77.58;42.82
1.1;0.0;0.0;85.77;85.3
1.1;0.0;0.0;78.62;86.25
1.1;0.0;0.0;71.8;85.94
1.1;0.0;0.0;79.56;86.35
1.1;0.0;0.0;68.87;84.96
1.1;0.0;0.0;67.6;84.13
1.1;0.0;0.0;0.0;83.3
1.1;0.0;0.0;79.32;83.5
1.1;0.0;0.0;58.13;85.91
1.1;0.0;0.0;82.28;86.28
1.1;0.0;0.0;79.68;83.37
1.1;0.0;0.0;62.82;88.18
1.1;0.0;0.0;80.63;84.08
1.1;0.0;0.0;72.59;85.42
1.1;0.0;0.0;60.56;0.0
1.1;0.0;0.0;65.2;81.32
1.2;0.0;0.0;59.97;82.08
1.2;0.0;0.0;71.43;83.94
1.2;0.0;0.0;75.34;0.0
1.2;0.0;0.0;0.0;85.62
1.2;0.0;0.0;56.9;85.84
1.2;0.0;0.0;78.89;84.69
1.2;0.0;0.0;83.48;83.37
1.2;0.0;0.0;74.74;82.28
1.2;0.0;0.0;68.94;84.16
1.2;0.0;0.0;72.96;82.4
1.2;0.0;0.0;75.26;84.74
1.2;0.0;0.0;76.72;85.38
1.2;0.0;0.0;77.69;82.1
1.2;0.0;0.0;77.53;85.45
1.2;0.0;0.0;63.47;83.11
1.2;0.0;0.0;0.0;82.45
1.2;0.0;0.0;80.13;82.52
1.2;0.0;0.0;57.62;84.59
1.2;0.0;0.0;79.11;84.06
1.2;0.0;0.0;71.56;84.81
1.2;0.0;0.0;57.96;86.94
1.2;0.0;0.0;65.26;78.54
1.2;0.0;0.0;68.16;83.11
